UNIPROT,has,description
up:Q9P2G1,hsa:54467,ANKIB1; ankyrin repeat and IBR domain containing 1
up:P07741,hsa:353,APRT; adenine phosphoribosyltransferase
up:Q9H936,hsa:79751,SLC25A22; solute carrier family 25 member 22
up:Q9BYV1,hsa:64902,AGXT2; alanine--glyoxylate aminotransferase 2
up:Q14957,hsa:2905,GRIN2C; glutamate ionotropic receptor NMDA type subunit 2C
up:O43448,hsa:9196,KCNAB3; potassium voltage-gated channel subfamily A regulatory beta subunit 3
up:P28331,hsa:4719,NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1
up:P53680,hsa:1175,AP2S1; adaptor related protein complex 2 subunit sigma 1
up:P15374,hsa:7347,UCHL3; ubiquitin C-terminal hydrolase L3
up:P15374,hsa:7347,UCHL3; ubiquitin C-terminal hydrolase L3
up:Q9P2M1,hsa:55805,LRP2BP; LRP2 binding protein
up:Q9UKG1,hsa:26060,"APPL1; adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
up:Q8WTV0,hsa:949,SCARB1; scavenger receptor class B member 1
up:Q9BV86,hsa:28989,NTMT1; N-terminal Xaa-Pro-Lys N-methyltransferase 1
up:Q7Z624,hsa:79823,CAMKMT; calmodulin-lysine N-methyltransferase
up:O14732,hsa:3613,IMPA2; inositol monophosphatase 2
up:O60906,hsa:6610,SMPD2; sphingomyelin phosphodiesterase 2
up:Q9NR63,hsa:56603,CYP26B1; cytochrome P450 family 26 subfamily B member 1
up:Q8IUS5,hsa:253152,EPHX4; epoxide hydrolase 4
up:P16949,hsa:3925,STMN1; stathmin 1
up:P16949,hsa:3925,STMN1; stathmin 1
up:Q8IXV7,hsa:200942,KLHDC8B; kelch domain containing 8B
up:Q96DM3,hsa:29919,RMC1; regulator of MON1-CCZ1
up:P49326,hsa:2330,FMO5; flavin containing dimethylaniline monoxygenase 5
up:Q93100,hsa:5257,PHKB; phosphorylase kinase regulatory subunit beta
up:P09496,hsa:1211,CLTA; clathrin light chain A
up:P09496,hsa:1211,CLTA; clathrin light chain A
up:A6NFH5,hsa:646486,FABP12; fatty acid binding protein 12
up:Q8N8N7,hsa:145482,PTGR2; prostaglandin reductase 2
up:Q96KP1,hsa:55770,EXOC2; exocyst complex component 2
up:Q99798,hsa:50,ACO2; aconitase 2
up:Q9ULR5,hsa:400961,PAIP2B; poly(A) binding protein interacting protein 2B
up:Q6JQN1,hsa:80724,ACAD10; acyl-CoA dehydrogenase family member 10
up:P01111,hsa:4893,"NRAS; NRAS proto-oncogene, GTPase"
up:O75323,hsa:2631,NIPSNAP2; nipsnap homolog 2
up:Q71U36,hsa:7846,TUBA1A; tubulin alpha 1a
up:P04179,hsa:6648,SOD2; superoxide dismutase 2
up:P31040,hsa:6389,SDHA; succinate dehydrogenase complex flavoprotein subunit A
up:Q0VDG4,hsa:79634,SCRN3; secernin 3
up:Q9UFE4,hsa:339829,CCDC39; coiled-coil domain containing 39
up:Q8TD30,hsa:84706,GPT2; glutamic--pyruvic transaminase 2
up:P16152,hsa:873,CBR1; carbonyl reductase 1
up:Q8IVP5,hsa:139341,FUNDC1; FUN14 domain containing 1
up:Q9GZN8,hsa:54976,C20orf27; chromosome 20 open reading frame 27
up:P00387,hsa:1727,CYB5R3; cytochrome b5 reductase 3
up:P19105,hsa:10627,MYL12A; myosin light chain 12A
up:Q96K30,hsa:84934,RITA1; RBPJ interacting and tubulin associated 1
up:Q14254,hsa:2319,FLOT2; flotillin 2
up:Q9UKB3,hsa:56521,DNAJC12; DnaJ heat shock protein family (Hsp40) member C12
up:Q9UHY8,hsa:9637,FEZ2; fasciculation and elongation protein zeta 2
up:Q9UBF6,hsa:9616,RNF7; ring finger protein 7
up:Q9NZJ6,hsa:51805,"COQ3; coenzyme Q3, methyltransferase"
up:O95214,hsa:23484,LEPROTL1; leptin receptor overlapping transcript like 1
up:O14976,hsa:2580,GAK; cyclin G associated kinase
up:Q99732,hsa:9516,LITAF; lipopolysaccharide induced TNF factor
up:Q6DWJ6,hsa:124274,GPR139; G protein-coupled receptor 139
up:Q8IWW8,hsa:137872,ADHFE1; alcohol dehydrogenase iron containing 1
up:Q9H299,hsa:83442,SH3BGRL3; SH3 domain binding glutamate rich protein like 3
up:P34949,hsa:4351,MPI; mannose phosphate isomerase
up:O94889,hsa:23276,KLHL18; kelch like family member 18
up:Q96J02,hsa:83737,ITCH; itchy E3 ubiquitin protein ligase
up:Q9Y6K8,hsa:26289,AK5; adenylate kinase 5
up:Q13569,hsa:6996,TDG; thymine DNA glycosylase
up:Q8N4V1,hsa:93380,MMGT1; membrane magnesium transporter 1
up:Q96EY8,hsa:326625,MMAB; metabolism of cobalamin associated B
up:Q9Y343,hsa:28966,SNX24; sorting nexin 24
up:O43399,hsa:7165,TPD52L2; TPD52 like 2
up:Q8NBH2,hsa:339855,KY; kyphoscoliosis peptidase
up:O15212,hsa:10471,PFDN6; prefoldin subunit 6
up:Q9H3Z4,hsa:80331,DNAJC5; DnaJ heat shock protein family (Hsp40) member C5
up:Q86TX2,hsa:641371,ACOT1; acyl-CoA thioesterase 1
up:P13807,hsa:2997,GYS1; glycogen synthase 1
up:Q71U36,hsa:7846,TUBA1A; tubulin alpha 1a
up:P27701,hsa:3732,CD82; CD82 molecule
up:Q86V87,hsa:64760,FHIP2B; FHF complex subunit HOOK interacting protein 2B
up:Q9Y5X2,hsa:29886,SNX8; sorting nexin 8
up:Q8NFW1,hsa:169044,COL22A1; collagen type XXII alpha 1 chain
up:Q4LDE5,hsa:79987,"SVEP1; sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
up:Q86UY8,hsa:51559,NT5DC3; 5'-nucleotidase domain containing 3
up:P62837,hsa:7322,UBE2D2; ubiquitin conjugating enzyme E2 D2
up:Q8N9R8,hsa:286205,SCAI; suppressor of cancer cell invasion
up:Q9Y2S2,hsa:51084,CRYL1; crystallin lambda 1
up:P60709,hsa:60,ACTB; actin beta
up:O43909,hsa:2137,EXTL3; exostosin like glycosyltransferase 3
up:O60760,hsa:27306,HPGDS; hematopoietic prostaglandin D synthase
up:Q9H3G5,hsa:54504,CPVL; carboxypeptidase vitellogenic like
up:Q9UEW3,hsa:8685,MARCO; macrophage receptor with collagenous structure
up:P35270,hsa:6697,SPR; sepiapterin reductase
up:P08670,hsa:7431,VIM; vimentin
up:P22897,hsa:4360,MRC1; mannose receptor C-type 1
up:A5D8V7,hsa:115948,ODAD3; outer dynein arm docking complex subunit 3
up:O00754,hsa:4125,MAN2B1; mannosidase alpha class 2B member 1
up:Q8WX93,hsa:23022,"PALLD; palladin, cytoskeletal associated protein"
up:O75096,hsa:4038,LRP4; LDL receptor related protein 4
up:Q5T013,hsa:81888,HYI; hydroxypyruvate isomerase (putative)
up:Q9HBL0,hsa:7145,TNS1; tensin 1
up:Q02978,hsa:8402,SLC25A11; solute carrier family 25 member 11
up:P11229,hsa:1128,CHRM1; cholinergic receptor muscarinic 1
up:Q15369,hsa:6921,ELOC; elongin C
up:Q13002,hsa:2898,GRIK2; glutamate ionotropic receptor kainate type subunit 2
up:P10515,hsa:1737,DLAT; dihydrolipoamide S-acetyltransferase
up:Q8N475,hsa:56884,FSTL5; follistatin like 5
up:P50583,hsa:318,NUDT2; nudix hydrolase 2
up:Q96A58,hsa:85004,RERG; RAS like estrogen regulated growth inhibitor
up:P40926,hsa:4191,MDH2; malate dehydrogenase 2
up:A0JLT2,hsa:219541,MED19; mediator complex subunit 19
up:Q96AG3,hsa:91137,SLC25A46; solute carrier family 25 member 46
up:P61088,hsa:7334,UBE2N; ubiquitin conjugating enzyme E2 N
up:P32929,hsa:1491,CTH; cystathionine gamma-lyase
up:Q96RP9,hsa:85476,GFM1; G elongation factor mitochondrial 1
up:O75489,hsa:4722,NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3
up:Q86SZ2,hsa:122553,TRAPPC6B; trafficking protein particle complex subunit 6B
up:Q9UBW8,hsa:50813,COPS7A; COP9 signalosome subunit 7A
up:P45880,hsa:7417,VDAC2; voltage dependent anion channel 2
up:P21579,hsa:6857,SYT1; synaptotagmin 1
up:Q9NQR4,hsa:56954,NIT2; nitrilase family member 2
up:P62314,hsa:6632,SNRPD1; small nuclear ribonucleoprotein D1 polypeptide
up:Q9P0T7,hsa:252839,TMEM9; transmembrane protein 9
up:Q99435,hsa:4753,NELL2; neural EGFL like 2
up:P43034,hsa:5048,PAFAH1B1; platelet activating factor acetylhydrolase 1b regulatory subunit 1
up:Q13639,hsa:3360,HTR4; 5-hydroxytryptamine receptor 4
up:O75912,hsa:9162,DGKI; diacylglycerol kinase iota
up:Q92823,hsa:4897,NRCAM; neuronal cell adhesion molecule
up:Q9NS85,hsa:56934,CA10; carbonic anhydrase 10
up:Q9HBX9,hsa:59350,RXFP1; relaxin family peptide receptor 1
up:P23416,hsa:2742,GLRA2; glycine receptor alpha 2
up:O43808,hsa:10478,SLC25A17; solute carrier family 25 member 17
up:O75431,hsa:10651,MTX2; metaxin 2
up:O15072,hsa:9508,ADAMTS3; ADAM metallopeptidase with thrombospondin type 1 motif 3
up:Q9Y6V0,hsa:27445,PCLO; piccolo presynaptic cytomatrix protein
up:Q96HU8,hsa:54769,DIRAS2; DIRAS family GTPase 2
up:Q14691,hsa:9837,GINS1; GINS complex subunit 1
up:Q9P1F3,hsa:58527,ABRACL; ABRA C-terminal like
up:Q8IVL0,hsa:89795,NAV3; neuron navigator 3
up:P39086,hsa:2897,GRIK1; glutamate ionotropic receptor kainate type subunit 1
up:P32418,hsa:6546,SLC8A1; solute carrier family 8 member A1
up:O15072,hsa:9508,ADAMTS3; ADAM metallopeptidase with thrombospondin type 1 motif 3
up:Q9UJ83,hsa:26061,HACL1; 2-hydroxyacyl-CoA lyase 1
up:P08574,hsa:1537,CYC1; cytochrome c1
up:Q16891,hsa:10989,IMMT; inner membrane mitochondrial protein
up:Q5EBL8,hsa:51248,PDZD11; PDZ domain containing 11
up:O75964,hsa:10632,ATP5MG; ATP synthase membrane subunit g
up:Q6PD74,hsa:79719,AAGAB; alpha and gamma adaptin binding protein
up:O60925,hsa:5201,PFDN1; prefoldin subunit 1
up:Q4G0F5,hsa:112936,"VPS26B; VPS26, retromer complex component B"
up:Q9H6F2,hsa:79041,TMEM38A; transmembrane protein 38A
up:Q9BUK0,hsa:79145,CHCHD7; coiled-coil-helix-coiled-coil-helix domain containing 7
up:Q53S33,hsa:388962,BOLA3; bolA family member 3
up:A1Z1Q3,hsa:140733,MACROD2; mono-ADP ribosylhydrolase 2
up:P51513,hsa:4857,NOVA1; NOVA alternative splicing regulator 1
up:P39210,hsa:4358,MPV17; mitochondrial inner membrane protein MPV17
up:Q9Y3D6,hsa:51024,"FIS1; fission, mitochondrial 1"
up:Q9Y3D6,hsa:51024,"FIS1; fission, mitochondrial 1"
up:O95563,hsa:25874,MPC2; mitochondrial pyruvate carrier 2
up:O14530,hsa:10190,TXNDC9; thioredoxin domain containing 9
up:Q9BTX7,hsa:79183,TTPAL; alpha tocopherol transfer protein like
up:Q9P0R6,hsa:51527,GSKIP; GSK3B interacting protein
up:Q8N5X7,hsa:317649,EIF4E3; eukaryotic translation initiation factor 4E family member 3
up:P05166,hsa:5096,PCCB; propionyl-CoA carboxylase subunit beta
up:Q6P2H8,hsa:79639,TMEM53; transmembrane protein 53
up:Q9BTX7,hsa:79183,TTPAL; alpha tocopherol transfer protein like
up:Q02153,hsa:2983,GUCY1B1; guanylate cyclase 1 soluble subunit beta 1
up:Q15631,hsa:7247,TSN; translin
up:Q9NYS0,hsa:28512,NKIRAS1; NFKB inhibitor interacting Ras like 1
up:Q9UBB4,hsa:25814,ATXN10; ataxin 10
up:Q9UBB4,hsa:25814,ATXN10; ataxin 10
up:Q15506,hsa:53340,SPA17; sperm autoantigenic protein 17
up:Q96E17,hsa:115827,"RAB3C; RAB3C, member RAS oncogene family"
up:Q8IVL0,hsa:89795,NAV3; neuron navigator 3
up:Q7RTX9,hsa:151473,SLC16A14; solute carrier family 16 member 14
up:P23763,hsa:6843,VAMP1; vesicle associated membrane protein 1
up:P61106,hsa:51552,"RAB14; RAB14, member RAS oncogene family"
up:Q9P2F6,hsa:57569,ARHGAP20; Rho GTPase activating protein 20
up:Q99715,hsa:1303,COL12A1; collagen type XII alpha 1 chain
up:P13073,hsa:1327,COX4I1; cytochrome c oxidase subunit 4I1
up:Q9Y3A3,hsa:25843,"MOB4; MOB family member 4, phocein"
up:Q13112,hsa:8208,CHAF1B; chromatin assembly factor 1 subunit B
up:Q9UJQ1,hsa:24141,LAMP5; lysosomal associated membrane protein family member 5
up:Q15078,hsa:8851,CDK5R1; cyclin dependent kinase 5 regulatory subunit 1
up:Q96T52,hsa:83943,IMMP2L; inner mitochondrial membrane peptidase subunit 2
up:Q13423,hsa:23530,NNT; nicotinamide nucleotide transhydrogenase
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:O75340,hsa:10016,PDCD6; programmed cell death 6
up:P22695,hsa:7385,UQCRC2; ubiquinol-cytochrome c reductase core protein 2
up:Q9BV79,hsa:51102,MECR; mitochondrial trans-2-enoyl-CoA reductase
up:Q96LU5,hsa:196294,IMMP1L; inner mitochondrial membrane peptidase subunit 1
up:O75845,hsa:6309,SC5D; sterol-C5-desaturase
up:Q8N0U8,hsa:154807,VKORC1L1; vitamin K epoxide reductase complex subunit 1 like 1
up:Q99807,hsa:10229,"COQ7; coenzyme Q7, hydroxylase"
up:Q13404,hsa:7335,UBE2V1; ubiquitin conjugating enzyme E2 V1
up:O15055,hsa:8864,PER2; period circadian regulator 2
up:Q13404,hsa:7335,UBE2V1; ubiquitin conjugating enzyme E2 V1
up:Q9BZV1,hsa:80700,UBXN6; UBX domain protein 6
up:P19526,hsa:2523,FUT1; fucosyltransferase 1 (H blood group)
up:Q09470,hsa:3736,KCNA1; potassium voltage-gated channel subfamily A member 1
up:Q17RW2,hsa:255631,COL24A1; collagen type XXIV alpha 1 chain
up:P21266,hsa:2947,GSTM3; glutathione S-transferase mu 3
